[2023-07-06 17:45:52] [world] The Player <wqe123420> has placed NETHERRACK at X= 40, Y= 63, Z= -339
[2023-07-06 17:45:52] [world] The Player <wqe123420> has placed NETHERRACK at X= 40, Y= 64, Z= -339
[2023-07-06 17:45:53] [world] The Player <wqe123420> has placed NETHERRACK at X= 41, Y= 63, Z= -339
[2023-07-06 17:45:54] [world] The Player <wqe123420> has placed NETHERRACK at X= 42, Y= 63, Z= -339
[2023-07-06 17:45:54] [world] The Player <wqe123420> has placed NETHERRACK at X= 43, Y= 63, Z= -339
[2023-07-06 18:16:22] [world] The Player <wqe123420> has placed LIGHT_GRAY_SHULKER_BOX at X= -26, Y= 63, Z= -287
[2023-07-06 18:21:41] [world] The Player <wqe123420> has placed PURPLE_STAINED_GLASS at X= 11, Y= 62, Z= -266
[2023-07-06 18:25:02] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -833, Y= 37, Z= -749
[2023-07-06 18:25:08] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -833, Y= 38, Z= -749
[2023-07-06 18:25:08] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -833, Y= 39, Z= -749
[2023-07-06 18:25:08] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -833, Y= 40, Z= -749
[2023-07-06 18:25:09] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -833, Y= 41, Z= -749
[2023-07-06 18:25:09] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -833, Y= 42, Z= -749
[2023-07-06 18:25:09] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -833, Y= 43, Z= -749
[2023-07-06 18:25:12] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -834, Y= 43, Z= -749
[2023-07-06 18:25:13] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -835, Y= 43, Z= -749
[2023-07-06 18:25:14] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -836, Y= 43, Z= -749
[2023-07-06 18:25:15] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -837, Y= 43, Z= -749
[2023-07-06 18:25:16] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -838, Y= 43, Z= -749
[2023-07-06 18:25:17] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -839, Y= 43, Z= -749
[2023-07-06 18:25:18] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -840, Y= 43, Z= -749
[2023-07-06 18:25:19] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -841, Y= 43, Z= -749
[2023-07-06 18:25:21] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -842, Y= 43, Z= -749
[2023-07-06 18:25:22] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -843, Y= 43, Z= -749
[2023-07-06 18:25:22] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -843, Y= 43, Z= -750
[2023-07-06 18:25:33] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 44, Z= -750
