[2023-07-23 14:55:23] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 65, Z= 9
[2023-07-23 14:55:24] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 63, Z= 8
[2023-07-23 14:55:25] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 64, Z= 8
[2023-07-23 14:55:25] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 65, Z= 8
[2023-07-23 14:55:32] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 62, Z= 7
[2023-07-23 14:55:32] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 63, Z= 7
[2023-07-23 14:55:33] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 64, Z= 7
[2023-07-23 14:55:33] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 65, Z= 7
[2023-07-23 14:55:36] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 63, Z= 6
[2023-07-23 14:55:38] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 64, Z= 6
[2023-07-23 14:55:38] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 65, Z= 6
[2023-07-23 14:55:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 62, Z= 5
[2023-07-23 14:55:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 63, Z= 5
[2023-07-23 14:55:41] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 64, Z= 5
[2023-07-23 14:55:41] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 65, Z= 5
[2023-07-23 14:55:48] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 62, Z= 7
[2023-07-23 14:55:48] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 63, Z= 7
[2023-07-23 14:55:49] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 64, Z= 7
[2023-07-23 14:55:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 65, Z= 7
[2023-07-23 14:56:27] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 62, Z= 6
[2023-07-23 14:56:35] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 5, Y= 62, Z= -8
[2023-07-23 14:56:38] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 5, Y= 62, Z= -10
[2023-07-23 14:56:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 4, Y= 62, Z= -10
[2023-07-23 14:56:41] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 4, Y= 62, Z= -9
[2023-07-23 14:56:41] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 4, Y= 62, Z= -8
[2023-07-23 14:56:42] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 5, Y= 62, Z= -7
[2023-07-23 14:56:44] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 6, Y= 62, Z= -7
[2023-07-23 14:56:45] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 7, Y= 62, Z= -7
[2023-07-23 14:56:46] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 7, Y= 62, Z= -8
[2023-07-23 14:56:47] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 8, Y= 62, Z= -9
[2023-07-23 14:56:48] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 7, Y= 62, Z= -10
[2023-07-23 14:56:49] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 6, Y= 62, Z= -11
[2023-07-23 14:56:49] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 7, Y= 62, Z= -11
[2023-07-23 14:57:27] [world_the_end] The Player <Enderlava> has placed OBSERVER at X= 0, Y= 54, Z= 0
[2023-07-23 14:57:33] [world_the_end] The Player <Enderlava> has placed OBSERVER at X= 0, Y= 55, Z= 0
[2023-07-23 14:57:40] [world_the_end] The Player <Enderlava> has placed OBSERVER at X= 0, Y= 54, Z= 0
[2023-07-23 14:57:42] [world_the_end] The Player <Enderlava> has placed OBSERVER at X= 0, Y= 55, Z= 0
[2023-07-23 14:57:50] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 52, Z= 1
[2023-07-23 14:57:50] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 53, Z= 1
[2023-07-23 14:57:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 54, Z= 1
[2023-07-23 14:58:19] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -1, Y= 55, Z= 0
[2023-07-23 14:58:19] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 55, Z= 0
[2023-07-23 14:59:03] [world_the_end] The Player <Enderlava> has placed SHULKER_BOX at X= 4, Y= 58, Z= 5
[2023-07-23 14:59:22] [world_the_end] The Player <Enderlava> has placed SHULKER_BOX at X= 3, Y= 58, Z= 5
[2023-07-23 15:08:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 55, Z= -2
[2023-07-23 15:08:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 55, Z= -1
[2023-07-23 15:08:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 55, Z= 0
[2023-07-23 15:08:52] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 56, Z= 1
[2023-07-23 15:08:52] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 56, Z= 0
[2023-07-23 15:08:52] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 56, Z= -1
[2023-07-23 15:08:53] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 56, Z= -2
[2023-07-23 15:08:53] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 57, Z= -2
[2023-07-23 15:08:53] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 57, Z= -1
[2023-07-23 15:08:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 57, Z= 0
[2023-07-23 15:08:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 57, Z= 2
[2023-07-23 15:08:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 57, Z= 1
[2023-07-23 15:08:55] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 58, Z= 1
[2023-07-23 15:08:55] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 58, Z= 0
[2023-07-23 15:08:55] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 58, Z= -1
[2023-07-23 15:08:56] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 55, Z= -2
[2023-07-23 15:08:56] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 55, Z= -1
[2023-07-23 15:08:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 55, Z= 0
[2023-07-23 15:08:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 55, Z= 1
[2023-07-23 15:08:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 56, Z= 1
[2023-07-23 15:08:58] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 56, Z= -2
[2023-07-23 15:08:58] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 56, Z= -1
[2023-07-23 15:08:58] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 56, Z= 0
[2023-07-23 15:08:59] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 57, Z= -2
[2023-07-23 15:08:59] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 57, Z= -1
[2023-07-23 15:08:59] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 57, Z= 0
[2023-07-23 15:08:59] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 57, Z= 1
[2023-07-23 15:09:00] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 57, Z= 2
[2023-07-23 15:09:00] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 58, Z= 2
[2023-07-23 15:09:00] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 58, Z= 1
[2023-07-23 15:09:01] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 58, Z= -2
[2023-07-23 15:09:01] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 58, Z= -1
[2023-07-23 15:09:02] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 58, Z= 0
[2023-07-23 15:09:03] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 55, Z= -1
