[2023-07-10 09:22:53] [world] The Player <Enderlava> has placed COBBLESTONE at X= -845, Y= 95, Z= -731
[2023-07-10 09:22:53] [world] The Player <Enderlava> has placed COBBLESTONE at X= -845, Y= 95, Z= -730
[2023-07-10 09:22:54] [world] The Player <Enderlava> has placed COBBLESTONE at X= -844, Y= 95, Z= -730
[2023-07-10 09:22:56] [world] The Player <Enderlava> has placed COBBLESTONE at X= -845, Y= 95, Z= -730
[2023-07-10 09:22:56] [world] The Player <Enderlava> has placed COBBLESTONE at X= -846, Y= 95, Z= -730
[2023-07-10 09:23:00] [world] The Player <Enderlava> has placed COBBLESTONE at X= -843, Y= 95, Z= -730
[2023-07-10 09:23:06] [world] The Player <Enderlava> has placed OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:23:08] [world] The Player <Enderlava> has placed OBSERVER at X= -842, Y= 94, Z= -729
[2023-07-10 09:23:10] [world] The Player <Enderlava> has placed OBSERVER at X= -843, Y= 94, Z= -729
[2023-07-10 09:23:14] [world] The Player <Enderlava> has placed OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:23:44] [world] The Player <Enderlava> has placed GLASS at X= -843, Y= 93, Z= -730
[2023-07-10 09:23:44] [world] The Player <Enderlava> has placed GLASS at X= -843, Y= 92, Z= -730
[2023-07-10 09:23:45] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 92, Z= -730
[2023-07-10 09:23:45] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 92, Z= -730
[2023-07-10 09:23:46] [world] The Player <Enderlava> has placed GLASS at X= -846, Y= 92, Z= -730
[2023-07-10 09:23:47] [world] The Player <Enderlava> has placed GLASS at X= -846, Y= 93, Z= -730
[2023-07-10 09:23:48] [world] The Player <Enderlava> has placed GLASS at X= -846, Y= 93, Z= -731
[2023-07-10 09:23:49] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 93, Z= -731
[2023-07-10 09:23:49] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 93, Z= -731
[2023-07-10 09:23:55] [world] The Player <Enderlava> has placed GLASS at X= -843, Y= 93, Z= -729
[2023-07-10 09:23:55] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 93, Z= -729
[2023-07-10 09:23:55] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 93, Z= -729
[2023-07-10 09:23:56] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 94, Z= -729
[2023-07-10 09:23:58] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 94, Z= -729
[2023-07-10 09:24:27] [world] The Player <Enderlava> has placed OAK_FENCE_GATE at X= -845, Y= 92, Z= -730
[2023-07-10 09:24:46] [world] The Player <Enderlava> has placed TNT at X= -844, Y= 94, Z= -731
[2023-07-10 09:24:48] [world] The Player <Enderlava> has placed TNT at X= -844, Y= 94, Z= -730
[2023-07-10 09:24:59] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 95, Z= -730
[2023-07-10 09:25:11] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -844, Y= 94, Z= -731
[2023-07-10 09:25:12] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -843, Y= 95, Z= -731
[2023-07-10 09:25:13] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -843, Y= 96, Z= -730
[2023-07-10 09:25:13] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -844, Y= 96, Z= -730
[2023-07-10 09:25:13] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -845, Y= 96, Z= -730
[2023-07-10 09:25:14] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -846, Y= 96, Z= -730
[2023-07-10 09:25:31] [world] The Player <Enderlava> has placed LEVER at X= -840, Y= 91, Z= -736
[2023-07-10 09:26:16] [world] The Player <Enderlava> has placed OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:26:20] [world] The Player <Enderlava> has placed OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:26:22] [world] The Player <Enderlava> has placed OBSERVER at X= -843, Y= 94, Z= -730
