[2023-07-20 11:27:07] [world] The Player <wqe123420> has placed TNT at X= -3138, Y= 64, Z= 4421
[2023-07-20 11:27:08] [world] The Player <wqe123420> has placed TNT at X= -3140, Y= 64, Z= 4418
[2023-07-20 11:27:10] [world] The Player <wqe123420> has placed TNT at X= -3143, Y= 64, Z= 4415
[2023-07-20 11:27:11] [world] The Player <wqe123420> has placed TNT at X= -3145, Y= 64, Z= 4411
[2023-07-20 11:27:12] [world] The Player <wqe123420> has placed TNT at X= -3146, Y= 64, Z= 4405
[2023-07-20 11:27:13] [world] The Player <wqe123420> has placed TNT at X= -3140, Y= 64, Z= 4404
[2023-07-20 11:27:14] [world] The Player <wqe123420> has placed TNT at X= -3135, Y= 64, Z= 4404
[2023-07-20 11:27:15] [world] The Player <wqe123420> has placed TNT at X= -3131, Y= 64, Z= 4402
[2023-07-20 11:27:16] [world] The Player <wqe123420> has placed TNT at X= -3125, Y= 63, Z= 4402
[2023-07-20 11:27:18] [world] The Player <wqe123420> has placed TNT at X= -3117, Y= 63, Z= 4403
[2023-07-20 11:27:19] [world] The Player <wqe123420> has placed TNT at X= -3115, Y= 63, Z= 4408
[2023-07-20 11:27:19] [world] The Player <wqe123420> has placed TNT at X= -3113, Y= 63, Z= 4410
[2023-07-20 11:27:20] [world] The Player <wqe123420> has placed TNT at X= -3110, Y= 63, Z= 4414
[2023-07-20 11:27:21] [world] The Player <wqe123420> has placed TNT at X= -3106, Y= 63, Z= 4409
[2023-07-20 11:27:21] [world] The Player <wqe123420> has placed TNT at X= -3105, Y= 63, Z= 4407
[2023-07-20 11:27:23] [world] The Player <wqe123420> has placed TNT at X= -3099, Y= 63, Z= 4405
[2023-07-20 11:27:23] [world] The Player <wqe123420> has placed TNT at X= -3096, Y= 63, Z= 4404
[2023-07-20 11:27:24] [world] The Player <wqe123420> has placed TNT at X= -3094, Y= 63, Z= 4405
[2023-07-20 11:27:25] [world] The Player <wqe123420> has placed TNT at X= -3092, Y= 63, Z= 4407
[2023-07-20 11:27:25] [world] The Player <wqe123420> has placed TNT at X= -3091, Y= 63, Z= 4410
[2023-07-20 11:27:26] [world] The Player <wqe123420> has placed TNT at X= -3094, Y= 63, Z= 4410
[2023-07-20 11:27:26] [world] The Player <wqe123420> has placed TNT at X= -3095, Y= 63, Z= 4412
[2023-07-20 11:27:27] [world] The Player <wqe123420> has placed TNT at X= -3096, Y= 63, Z= 4414
[2023-07-20 11:27:28] [world] The Player <wqe123420> has placed TNT at X= -3098, Y= 63, Z= 4416
[2023-07-20 11:27:28] [world] The Player <wqe123420> has placed TNT at X= -3100, Y= 63, Z= 4415
[2023-07-20 11:27:29] [world] The Player <wqe123420> has placed TNT at X= -3101, Y= 63, Z= 4414
[2023-07-20 11:27:30] [world] The Player <wqe123420> has placed TNT at X= -3103, Y= 63, Z= 4411
[2023-07-20 11:27:31] [world] The Player <wqe123420> has placed TNT at X= -3104, Y= 63, Z= 4414
[2023-07-20 11:27:31] [world] The Player <wqe123420> has placed TNT at X= -3105, Y= 63, Z= 4416
[2023-07-20 11:27:54] [world] The Player <wqe123420> has placed TNT at X= -3086, Y= 63, Z= 4413
[2023-07-20 11:28:24] [world] The Player <wqe123420> has placed RED_SHULKER_BOX at X= -3088, Y= 63, Z= 4396
[2023-07-20 11:30:06] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 63, Z= 4432
[2023-07-20 11:30:06] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 64, Z= 4432
[2023-07-20 11:30:06] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 65, Z= 4432
[2023-07-20 11:30:07] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 66, Z= 4432
[2023-07-20 11:30:07] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 67, Z= 4432
[2023-07-20 11:30:07] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 68, Z= 4432
[2023-07-20 11:30:07] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 69, Z= 4432
[2023-07-20 11:30:07] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 70, Z= 4432
[2023-07-20 11:30:07] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 71, Z= 4432
[2023-07-20 11:30:09] [world] The Player <wqe123420> has placed SAND at X= -3098, Y= 71, Z= 4431
[2023-07-20 11:30:09] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 71, Z= 4432
[2023-07-20 11:30:11] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 63, Z= 4433
[2023-07-20 11:30:11] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 64, Z= 4433
[2023-07-20 11:30:11] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 64, Z= 4432
[2023-07-20 11:30:12] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 65, Z= 4432
[2023-07-20 11:30:12] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 66, Z= 4432
[2023-07-20 11:30:13] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 67, Z= 4432
[2023-07-20 11:30:13] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 68, Z= 4432
[2023-07-20 11:30:13] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 69, Z= 4432
[2023-07-20 11:30:13] [world] The Player <wqe123420> has placed SAND at X= -3097, Y= 70, Z= 4432
