[2023-07-11 19:57:23] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:26] [world] The Player <Funget114514> has died with 0 level(s) at X= -20, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:28] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:32] [world] The Player <Funget114514> has died with 0 level(s) at X= -20, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:35] [world] The Player <Funget114514> has died with 0 level(s) at X= -20, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:38] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:58:41] [world] The Player <Funget114514> has died with 0 level(s) at X= -16, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 20:01:44] [world] The Player <Funget114514> has died with 2 level(s) at X= -26, Y= 63, Z= -288 | caused by ENTITY_ATTACK | 
[2023-07-11 20:14:36] [world] The Player <Funget114514> has died with 1 level(s) at X= -26, Y= 65, Z= -285 | caused by ENTITY_ATTACK | 
[2023-07-11 20:22:15] [world] The Player <Funget114514> has died with 58 level(s) at X= -16, Y= 61, Z= -289 | caused by Player | Enderlava
[2023-07-11 20:22:47] [world] The Player <Funget114514> has died with 54 level(s) at X= -25, Y= 63, Z= -287 | caused by Player | Enderlava
