[2023-06-27 20:30:38] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -335, Y= 15, Z= -49
[2023-06-27 20:30:38] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -333, Y= 11, Z= -49
[2023-06-27 20:30:38] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -336, Y= 10, Z= -49
[2023-06-27 20:30:38] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -339, Y= 16, Z= -49
[2023-06-27 20:30:39] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -341, Y= 14, Z= -49
[2023-06-27 20:30:39] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -344, Y= 13, Z= -49
[2023-06-27 20:30:39] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -348, Y= 15, Z= -49
[2023-06-27 20:30:39] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -339, Y= 8, Z= -48
[2023-06-27 20:30:39] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -350, Y= 12, Z= -50
[2023-06-27 20:30:40] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -342, Y= 9, Z= -50
[2023-06-27 20:30:40] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -352, Y= 15, Z= -49
[2023-06-27 20:30:40] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -351, Y= 17, Z= -49
[2023-06-27 20:30:41] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -357, Y= 15, Z= -49
[2023-06-27 20:30:41] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -357, Y= 11, Z= -49
[2023-06-27 20:30:41] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -360, Y= 14, Z= -49
[2023-06-27 20:30:42] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -354, Y= 12, Z= -49
[2023-06-27 20:30:42] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -357, Y= 17, Z= -49
[2023-06-27 20:30:42] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -363, Y= 13, Z= -48
[2023-06-27 20:30:42] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -365, Y= 13, Z= -49
[2023-06-27 20:30:43] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -368, Y= 14, Z= -49
[2023-06-27 20:30:43] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -370, Y= 11, Z= -49
[2023-06-27 20:30:44] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -369, Y= 10, Z= -49
[2023-06-27 20:30:44] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -374, Y= 8, Z= -49
