[2023-07-21 16:34:14] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 197
[2023-07-21 16:34:24] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 15, Z= 205
[2023-07-21 16:34:39] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 15, Z= 212
[2023-07-21 16:34:53] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 14, Z= 215
[2023-07-21 16:35:07] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 14, Z= 222
[2023-07-21 16:35:07] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 14, Z= 226
[2023-07-21 16:35:30] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 13, Z= 234
[2023-07-21 16:35:58] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 13, Z= 239
[2023-07-21 16:36:11] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 12, Z= 249
[2023-07-21 16:36:24] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 261
[2023-07-21 16:37:20] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 17, Z= 281
[2023-07-21 16:37:35] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 16, Z= 291
[2023-07-21 16:37:47] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -54, Y= 16, Z= 81
[2023-07-21 16:37:52] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -63, Y= 15, Z= 298
[2023-07-21 16:38:03] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 15, Z= 307
[2023-07-21 16:39:13] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -109, Y= 16, Z= 88
[2023-07-21 16:39:32] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -116, Y= 16, Z= 92
[2023-07-21 16:39:43] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 16, Z= 315
