[2023-07-20 11:59:17] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3132, Y= 64, Z= 4426
[2023-07-20 11:59:17] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3129, Y= 61, Z= 4427
[2023-07-20 11:59:18] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3125, Y= 64, Z= 4419
[2023-07-20 11:59:18] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3135, Y= 63, Z= 4423
[2023-07-20 11:59:19] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3138, Y= 62, Z= 4421
[2023-07-20 11:59:19] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3126, Y= 64, Z= 4416
[2023-07-20 11:59:21] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3127, Y= 62, Z= 4413
[2023-07-20 11:59:22] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3128, Y= 61, Z= 4410
[2023-07-20 11:59:54] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3140, Y= 64, Z= 4418
[2023-07-20 11:59:55] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3143, Y= 64, Z= 4415
[2023-07-20 11:59:55] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3145, Y= 64, Z= 4411
[2023-07-20 12:00:15] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3146, Y= 64, Z= 4405
[2023-07-20 12:00:32] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3140, Y= 64, Z= 4404
[2023-07-20 12:00:33] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3135, Y= 64, Z= 4404
[2023-07-20 12:00:34] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3131, Y= 64, Z= 4402
[2023-07-20 12:00:47] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3125, Y= 63, Z= 4402
