[2023-07-20 13:11:28] [world] The Player <Enderlava> has crafted 4 of OAK PLANKS at X= -17, Y= 70, Z= -286
[2023-07-20 13:12:03] [world] The Player <Enderlava> has crafted 2 of OAK TRAPDOOR at X= -27, Y= 63, Z= -287
[2023-07-20 13:12:55] [world] The Player <wqe123420> has crafted 4 of STICK at X= -5, Y= 69, Z= -255
[2023-07-20 13:13:09] [world] The Player <wqe123420> has crafted 1 of LEVER at X= -6, Y= 69, Z= -256
[2023-07-20 13:13:26] [world] The Player <Enderlava> has crafted 3 of PAPER at X= -27, Y= 63, Z= -288
[2023-07-20 13:13:30] [world] The Player <Enderlava> has crafted 3 of FIREWORK ROCKET at X= -27, Y= 63, Z= -288
[2023-07-20 13:13:49] [world_nether] The Player <wqe123420> has crafted 1 of CRAFTING TABLE at X= 8, Y= 129, Z= -20
[2023-07-20 13:13:56] [world_nether] The Player <wqe123420> has crafted 2 of OAK TRAPDOOR at X= 9, Y= 128, Z= -18
[2023-07-20 13:21:13] [world] The Player <Enderlava> has crafted 1 of PISTON at X= -27, Y= 63, Z= -288
[2023-07-20 13:21:54] [world_nether] The Player <wqe123420> has crafted 2 of OAK TRAPDOOR at X= 11, Y= 128, Z= -18
[2023-07-20 13:22:00] [world_nether] The Player <wqe123420> has crafted 1 of LEVER at X= 11, Y= 128, Z= -18
[2023-07-20 13:24:36] [world_nether] The Player <wqe123420> has crafted 1 of LEVER at X= 14, Y= 128, Z= -15
[2023-07-20 13:25:23] [world_nether] The Player <wqe123420> has crafted 1 of PISTON at X= 13, Y= 128, Z= -14
[2023-07-20 13:26:14] [world_nether] The Player <wqe123420> has crafted 1 of PISTON at X= 12, Y= 128, Z= -15
[2023-07-20 13:26:35] [world_nether] The Player <wqe123420> has crafted 1 of LEVER at X= 14, Y= 128, Z= -15
[2023-07-20 13:38:29] [world_nether] The Player <wqe123420> has crafted 1 of LEVER at X= 14, Y= 128, Z= -15
[2023-07-20 13:39:04] [world] The Player <Funget114514> has crafted 1 of STICK at X= -27, Y= 63, Z= -287
[2023-07-20 13:39:23] [world] The Player <Funget114514> has crafted 1 of ACACIA SAPLING at X= -28, Y= 63, Z= -288
[2023-07-20 13:39:44] [world] The Player <Funget114514> has crafted 1 of ACACIA SAPLING at X= -28, Y= 63, Z= -288
[2023-07-20 13:44:21] [world_the_end] The Player <wqe123420> has crafted 1 of CRAFTING TABLE at X= -3, Y= 61, Z= -9
[2023-07-20 13:45:56] [world] The Player <Funget114514> has crafted 3 of FIRE CHARGE at X= -27, Y= 63, Z= -288
[2023-07-20 13:47:15] [world] The Player <Funget114514> has crafted 1 of NETHER STAR at X= 10, Y= 113, Z= 14
[2023-07-20 13:50:20] [world] The Player <Funget114514> has crafted 1 of NETHER STAR at X= 10, Y= 113, Z= 15
[2023-07-20 13:55:41] [world] The Player <Funget114514> has crafted 1 of NETHER STAR at X= -28, Y= 63, Z= -287
[2023-07-20 14:01:50] [world] The Player <wqe123420> has crafted 1 of NETHER STAR at X= -27, Y= 63, Z= -287
[2023-07-20 14:23:31] [world] The Player <Funget114514> has crafted 3 of GLASS BOTTLE at X= -27, Y= 63, Z= -288
[2023-07-20 14:43:22] [world] The Player <wqe123420> has crafted 3 of GLASS BOTTLE at X= -27, Y= 63, Z= -288
[2023-07-20 15:27:41] [world] The Player <wqe123420> has crafted 6 of SMOOTH STONE SLAB at X= 1068, Y= 69, Z= -208
[2023-07-20 15:27:54] [world] The Player <wqe123420> has crafted 4 of SPRUCE PLANKS at X= 1081, Y= 204, Z= -206
[2023-07-20 15:27:56] [world] The Player <wqe123420> has crafted 4 of STICK at X= 1081, Y= 204, Z= -206
[2023-07-20 15:27:56] [world] The Player <wqe123420> has crafted 4 of STICK at X= 1081, Y= 204, Z= -206
[2023-07-20 15:28:10] [world] The Player <wqe123420> has crafted 1 of ARMOR STAND at X= 1081, Y= 204, Z= -206
[2023-07-20 15:49:04] [world_the_end] The Player <Enderlava> has crafted 9 of IRON INGOT at X= -8, Y= 64, Z= -18
[2023-07-20 16:00:09] [world] The Player <Enderlava> has crafted 1 of REPEATER at X= -26, Y= 63, Z= -287
[2023-07-20 18:54:28] [world] The Player <wqe123420> has crafted 9 of GOLD INGOT at X= -27, Y= 63, Z= -288
[2023-07-20 18:54:45] [world] The Player <wqe123420> has crafted 1 of NETHERITE INGOT at X= -27, Y= 63, Z= -288
[2023-07-20 18:54:56] [world] The Player <wqe123420> has crafted 1 of NETHERITE INGOT at X= -27, Y= 63, Z= -288
[2023-07-20 18:55:39] [world] The Player <wqe123420> has crafted 1 of NETHERITE BLOCK at X= -27, Y= 63, Z= -287
[2023-07-20 18:58:22] [world] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -28, Y= 68, Z= -281
[2023-07-20 18:58:22] [world] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -28, Y= 68, Z= -281
