[2023-07-07 10:23:56] [world] The Player <wegwe> has crafted 4 of OAK PLANKS at X= 18, Y= 72, Z= -245
[2023-07-07 10:23:56] [world] The Player <wegwe> has crafted 4 of OAK PLANKS at X= 18, Y= 72, Z= -245
[2023-07-07 10:23:56] [world] The Player <wegwe> has crafted 4 of OAK PLANKS at X= 18, Y= 72, Z= -245
[2023-07-07 10:23:56] [world] The Player <wegwe> has crafted 4 of OAK PLANKS at X= 18, Y= 72, Z= -245
[2023-07-07 10:23:57] [world] The Player <wegwe> has crafted 4 of OAK PLANKS at X= 18, Y= 72, Z= -245
[2023-07-07 10:23:57] [world] The Player <wegwe> has crafted 4 of OAK PLANKS at X= 18, Y= 72, Z= -245
[2023-07-07 10:27:41] [world] The Player <wegwe> has crafted 4 of STICK at X= 35, Y= 63, Z= -276
[2023-07-07 10:27:53] [world] The Player <wqe123420> has crafted 1 of FISHING ROD at X= -28, Y= 63, Z= -286
[2023-07-07 10:27:53] [world] The Player <wegwe> has crafted 4 of TORCH at X= 35, Y= 63, Z= -270
[2023-07-07 10:27:54] [world] The Player <wegwe> has crafted 4 of TORCH at X= 35, Y= 63, Z= -270
[2023-07-07 10:27:57] [world] The Player <wegwe> has crafted 4 of TORCH at X= 35, Y= 63, Z= -270
[2023-07-07 10:27:57] [world] The Player <wegwe> has crafted 4 of TORCH at X= 35, Y= 63, Z= -270
[2023-07-07 10:28:23] [world] The Player <Xw114> has crafted 1 of RED DYE at X= -28, Y= 63, Z= -286
[2023-07-07 10:28:26] [world] The Player <Xw114> has crafted 1 of BLUE DYE at X= -28, Y= 63, Z= -286
[2023-07-07 10:28:29] [world] The Player <Xw114> has crafted 1 of YELLOW DYE at X= -28, Y= 63, Z= -286
[2023-07-07 10:28:29] [world] The Player <Xw114> has crafted 1 of YELLOW DYE at X= -28, Y= 63, Z= -286
[2023-07-07 10:28:29] [world] The Player <Xw114> has crafted 1 of YELLOW DYE at X= -28, Y= 63, Z= -286
[2023-07-07 10:28:30] [world] The Player <Xw114> has crafted 1 of YELLOW DYE at X= -28, Y= 63, Z= -286
[2023-07-07 10:28:32] [world] The Player <Xw114> has crafted 1 of LIGHT GRAY DYE at X= -28, Y= 63, Z= -286
[2023-07-07 10:28:33] [world] The Player <Xw114> has crafted 1 of LIGHT GRAY DYE at X= -28, Y= 63, Z= -286
[2023-07-07 10:29:00] [world] The Player <Xw114> has crafted 1 of FIREWORK STAR at X= -26, Y= 63, Z= -286
[2023-07-07 10:29:08] [world] The Player <Xw114> has crafted 1 of FIREWORK STAR at X= -26, Y= 63, Z= -286
[2023-07-07 10:29:10] [world] The Player <Xw114> has crafted 1 of FIREWORK STAR at X= -26, Y= 63, Z= -286
[2023-07-07 10:29:11] [world] The Player <Xw114> has crafted 1 of FIREWORK STAR at X= -26, Y= 63, Z= -286
[2023-07-07 10:29:11] [world] The Player <Xw114> has crafted 1 of FIREWORK STAR at X= -26, Y= 63, Z= -286
[2023-07-07 10:29:11] [world] The Player <Xw114> has crafted 1 of FIREWORK STAR at X= -26, Y= 63, Z= -286
[2023-07-07 10:29:14] [world] The Player <Xw114> has crafted 1 of FIREWORK STAR at X= -26, Y= 63, Z= -286
[2023-07-07 10:29:14] [world] The Player <Xw114> has crafted 1 of FIREWORK STAR at X= -26, Y= 63, Z= -286
[2023-07-07 10:29:58] [world] The Player <Funget114514> has crafted 1 of BLUE DYE at X= -27, Y= 63, Z= -287
[2023-07-07 10:30:15] [world] The Player <Xw114> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -286
[2023-07-07 10:30:15] [world] The Player <Funget114514> has crafted 1 of BLUE SHULKER BOX at X= -27, Y= 63, Z= -286
[2023-07-07 10:30:20] [world] The Player <Xw114> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -286
[2023-07-07 10:30:20] [world] The Player <Xw114> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -286
[2023-07-07 10:30:20] [world] The Player <Xw114> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -286
[2023-07-07 10:30:20] [world] The Player <Xw114> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -286
[2023-07-07 10:30:24] [world] The Player <Xw114> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -285
[2023-07-07 10:30:25] [world] The Player <Xw114> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -285
[2023-07-07 10:30:28] [world] The Player <Xw114> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -285
[2023-07-07 10:30:28] [world] The Player <Xw114> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -285
[2023-07-07 10:31:08] [world] The Player <Funget114514> has crafted 1 of RED DYE at X= -17, Y= 63, Z= -283
[2023-07-07 10:31:11] [world] The Player <Funget114514> has crafted 1 of YELLOW DYE at X= -17, Y= 63, Z= -283
[2023-07-07 10:31:30] [world] The Player <Funget114514> has crafted 1 of RED SHULKER BOX at X= -26, Y= 63, Z= -287
[2023-07-07 10:31:40] [world] The Player <Funget114514> has crafted 1 of YELLOW SHULKER BOX at X= -26, Y= 63, Z= -287
[2023-07-07 10:35:03] [world_nether] The Player <wegwe> has crafted 1 of CRAFTING TABLE at X= 7, Y= 128, Z= -23
[2023-07-07 10:35:18] [world_nether] The Player <wegwe> has crafted 1 of OAK BOAT at X= 10, Y= 128, Z= -21
[2023-07-07 10:36:47] [world] The Player <wqe123420> has crafted 1 of YELLOW DYE at X= -27, Y= 63, Z= -286
[2023-07-07 10:36:56] [world] The Player <wegwe> has crafted 1 of OAK BOAT at X= -17, Y= 63, Z= -287
[2023-07-07 10:41:22] [world] The Player <wegwe> has crafted 1 of CHEST at X= -16, Y= 64, Z= -288
[2023-07-07 10:41:42] [world] The Player <wegwe> has crafted 1 of CHEST at X= -16, Y= 64, Z= -288
[2023-07-07 10:41:42] [world] The Player <wegwe> has crafted 1 of CHEST at X= -16, Y= 64, Z= -288
[2023-07-07 10:41:43] [world] The Player <wegwe> has crafted 1 of CHEST at X= -16, Y= 64, Z= -288
[2023-07-07 10:45:52] [world] The Player <wegwe> has crafted 9 of IRON INGOT at X= -15, Y= 64, Z= -286
[2023-07-07 10:45:53] [world] The Player <wegwe> has crafted 9 of IRON INGOT at X= -15, Y= 64, Z= -286
[2023-07-07 10:45:53] [world] The Player <wegwe> has crafted 9 of IRON INGOT at X= -15, Y= 64, Z= -286
[2023-07-07 10:47:26] [world] The Player <wegwe> has crafted 4 of STICK at X= -19, Y= 63, Z= -287
[2023-07-07 10:47:46] [world] The Player <wegwe> has crafted 1 of DIAMOND AXE at X= -18, Y= 63, Z= -287
[2023-07-07 10:57:09] [world] The Player <wqe123420> has crafted 4 of BIRCH PLANKS at X= -62, Y= 74, Z= -232
[2023-07-07 10:57:10] [world] The Player <wqe123420> has crafted 1 of BIRCH BUTTON at X= -62, Y= 74, Z= -232
[2023-07-07 10:57:14] [world] The Player <wqe123420> has crafted 1 of BIRCH BUTTON at X= -62, Y= 74, Z= -232
[2023-07-07 10:57:14] [world] The Player <wqe123420> has crafted 1 of BIRCH BUTTON at X= -62, Y= 74, Z= -232
[2023-07-07 10:57:15] [world] The Player <wqe123420> has crafted 1 of BIRCH BUTTON at X= -62, Y= 74, Z= -232
