[2023-07-23 14:53:53] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 56, Z= 2
[2023-07-23 14:53:53] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 58, Z= 2
[2023-07-23 14:53:54] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 58, Z= 2
[2023-07-23 14:53:54] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 58, Z= 2
[2023-07-23 14:53:55] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 58, Z= 2
[2023-07-23 14:53:55] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 58, Z= 2
[2023-07-23 14:54:00] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 1, Y= 58, Z= 2
[2023-07-23 14:54:00] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 58, Z= 2
[2023-07-23 14:54:01] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 58, Z= 1
[2023-07-23 14:54:02] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 58, Z= 1
[2023-07-23 14:54:02] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 58, Z= 0
[2023-07-23 14:54:03] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 58, Z= -1
[2023-07-23 14:54:03] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 60, Z= -1
[2023-07-23 14:54:05] [world_the_end] The Player <Enderlava> has broke NETHERRACK at X= 4, Y= 61, Z= 0
[2023-07-23 14:54:06] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 5, Y= 60, Z= 1
[2023-07-23 14:54:06] [world_the_end] The Player <Enderlava> has broke NETHERRACK at X= 5, Y= 61, Z= 0
[2023-07-23 14:54:07] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 5, Y= 60, Z= 2
[2023-07-23 14:54:08] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 58, Z= 3
[2023-07-23 14:54:09] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 1, Y= 58, Z= 3
[2023-07-23 14:54:52] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -10, Y= 62, Z= 2
[2023-07-23 14:54:53] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -11, Y= 62, Z= 3
[2023-07-23 14:54:53] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -12, Y= 62, Z= 2
[2023-07-23 14:54:54] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -10, Y= 62, Z= 3
[2023-07-23 14:54:55] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -9, Y= 62, Z= 3
[2023-07-23 14:54:56] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -12, Y= 62, Z= 4
[2023-07-23 14:54:56] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -12, Y= 62, Z= 5
[2023-07-23 14:54:57] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -12, Y= 62, Z= 6
[2023-07-23 14:54:57] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -12, Y= 62, Z= 7
[2023-07-23 14:54:57] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -12, Y= 62, Z= 8
[2023-07-23 14:54:58] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -12, Y= 62, Z= 9
[2023-07-23 14:54:58] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -12, Y= 62, Z= 10
[2023-07-23 14:54:59] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -12, Y= 62, Z= 11
[2023-07-23 14:55:58] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 65, Z= 9
[2023-07-23 14:55:58] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 64, Z= 9
[2023-07-23 14:55:59] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 63, Z= 8
[2023-07-23 14:56:00] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 63, Z= 9
[2023-07-23 14:56:01] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -6, Y= 65, Z= 10
[2023-07-23 14:56:02] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -6, Y= 64, Z= 10
[2023-07-23 14:56:03] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -6, Y= 65, Z= 9
[2023-07-23 14:56:05] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -6, Y= 63, Z= 10
[2023-07-23 14:56:08] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -7, Y= 62, Z= 4
[2023-07-23 14:56:08] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -8, Y= 62, Z= 4
[2023-07-23 14:56:09] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -9, Y= 62, Z= 4
[2023-07-23 14:56:09] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -10, Y= 62, Z= 4
[2023-07-23 14:56:10] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -11, Y= 62, Z= 4
[2023-07-23 14:56:10] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -11, Y= 62, Z= 5
[2023-07-23 14:56:11] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -11, Y= 62, Z= 6
[2023-07-23 14:56:11] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -11, Y= 62, Z= 7
[2023-07-23 14:56:12] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -11, Y= 62, Z= 8
[2023-07-23 14:56:12] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -11, Y= 62, Z= 9
[2023-07-23 14:56:13] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -9, Y= 62, Z= 9
[2023-07-23 14:56:14] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -11, Y= 62, Z= 10
[2023-07-23 14:56:19] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 62, Z= 8
[2023-07-23 14:56:19] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 62, Z= 7
[2023-07-23 14:56:19] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 62, Z= 7
[2023-07-23 14:56:20] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 62, Z= 6
[2023-07-23 14:56:21] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 62, Z= 6
[2023-07-23 14:56:22] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 62, Z= 6
[2023-07-23 14:56:26] [world_the_end] The Player <Enderlava> has broke SAND at X= -6, Y= 62, Z= 6
[2023-07-23 14:56:56] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 4, Y= 62, Z= -10
[2023-07-23 14:56:58] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 4, Y= 62, Z= -8
[2023-07-23 14:57:00] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 5, Y= 62, Z= -7
[2023-07-23 14:57:01] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 7, Y= 62, Z= -7
[2023-07-23 14:57:15] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 55, Z= 0
[2023-07-23 14:57:15] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 54, Z= 0
[2023-07-23 14:57:20] [world_the_end] The Player <Enderlava> has broke OBSERVER at X= 1, Y= 56, Z= 0
[2023-07-23 14:57:20] [world_the_end] The Player <Enderlava> has broke OBSERVER at X= 2, Y= 56, Z= 0
[2023-07-23 14:57:29] [world_the_end] The Player <Enderlava> has broke OBSERVER at X= 0, Y= 54, Z= 0
[2023-07-23 14:57:30] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 54, Z= 1
[2023-07-23 14:57:31] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 53, Z= 1
[2023-07-23 14:57:36] [world_the_end] The Player <Enderlava> has broke OBSERVER at X= 0, Y= 55, Z= 0
[2023-07-23 14:57:38] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 52, Z= 1
[2023-07-23 14:57:56] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 57, Z= 2
[2023-07-23 14:57:57] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 56, Z= 2
[2023-07-23 14:57:57] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 57, Z= 2
[2023-07-23 14:57:59] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 55, Z= 2
[2023-07-23 14:57:59] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 55, Z= 2
[2023-07-23 14:58:00] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 56, Z= 2
[2023-07-23 14:58:00] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 55, Z= 2
[2023-07-23 14:58:01] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 57, Z= 2
[2023-07-23 14:58:01] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 57, Z= 2
