[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 16, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 15, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 16, Z= 8
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 15, Z= 6
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -14, Y= 15, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -14, Y= 15, Z= 6
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 15, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 15, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 15, Z= 7
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 6
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 7
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 4
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 16, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 16, Z= 4
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 16, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 16, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 16, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 16, Z= 6
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -14, Y= 16, Z= 5
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 15, Z= 4
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 14, Z= 4
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 15, Z= 4
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 14, Z= 4
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 14, Z= 3
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 15, Z= 5
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 15, Z= 4
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 15, Z= 3
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 15, Z= 3
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 16, Z= 4
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 16, Z= 4
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 16, Z= 3
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 16, Z= 4
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 16, Z= 3
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 16, Z= 3
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 3
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 16, Z= 2
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 16, Z= 2
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 15, Z= 2
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 16, Z= 2
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 15, Z= 1
[2023-07-19 12:02:50] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 16, Z= 1
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 16, Z= 1
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 16, Z= 2
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 16, Z= 3
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 16, Z= 4
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 16, Z= 4
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 16, Z= 5
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 16, Z= 5
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 16, Z= 6
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 16, Z= 6
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 16, Z= 7
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 16, Z= 7
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 16, Z= 7
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 15, Z= 7
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -6, Y= 15, Z= 7
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 16, Z= 6
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 15, Z= 6
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 15, Z= 5
