[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -17, Y= 114, Z= -22
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -17, Y= 113, Z= -22
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -18, Y= 113, Z= -22
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -19, Y= 113, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -20, Y= 114, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -21, Y= 114, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -22, Y= 114, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 114, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 115, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -20, Y= 115, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -21, Y= 115, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -22, Y= 115, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -22, Y= 115, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 115, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 114, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 114, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 113, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 113, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 113, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -22, Y= 113, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 112, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 112, Z= -22
[2023-08-09 09:59:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 113, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -25, Y= 113, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 114, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -25, Y= 112, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -26, Y= 112, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -26, Y= 112, Z= -23
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -25, Y= 111, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 111, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -25, Y= 110, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -26, Y= 110, Z= -22
[2023-08-09 09:59:41] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -26, Y= 109, Z= -22
[2023-08-09 09:59:41] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 110, Z= -22
[2023-08-09 09:59:41] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -25, Y= 109, Z= -22
[2023-08-09 09:59:44] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -25, Y= 108, Z= -22
[2023-08-09 09:59:45] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -26, Y= 108, Z= -22
[2023-08-09 09:59:45] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -27, Y= 108, Z= -22
[2023-08-09 09:59:45] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -27, Y= 107, Z= -22
[2023-08-09 09:59:45] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -27, Y= 106, Z= -22
[2023-08-09 09:59:45] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -26, Y= 107, Z= -22
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 103, Z= -24
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 103, Z= -25
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 103, Z= -26
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -28, Y= 103, Z= -25
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -28, Y= 104, Z= -25
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -28, Y= 103, Z= -26
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -28, Y= 103, Z= -27
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -28, Y= 104, Z= -26
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 103, Z= -27
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 104, Z= -25
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 103, Z= -27
[2023-08-09 09:59:53] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 102, Z= -27
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 103, Z= -28
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 104, Z= -26
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 103, Z= -28
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 102, Z= -28
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 102, Z= -28
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 103, Z= -28
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 102, Z= -29
