[2023-07-17 09:11:47] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1074, Y= 201, Z= -197
[2023-07-17 09:11:48] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1075, Y= 201, Z= -197
[2023-07-17 09:11:48] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1074, Y= 201, Z= -196
[2023-07-17 09:11:49] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1074, Y= 201, Z= -195
[2023-07-17 09:11:49] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1076, Y= 201, Z= -197
[2023-07-17 09:11:49] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1077, Y= 201, Z= -197
[2023-07-17 09:11:50] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1078, Y= 201, Z= -197
[2023-07-17 09:11:51] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1079, Y= 201, Z= -197
[2023-07-17 09:11:51] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1080, Y= 201, Z= -197
[2023-07-17 09:12:28] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1080, Y= 201, Z= -198
[2023-07-17 09:12:29] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1080, Y= 201, Z= -199
[2023-07-17 09:12:29] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1081, Y= 201, Z= -199
[2023-07-17 09:12:35] [world] The Player <Enderlava> has broke OBSERVER at X= 1081, Y= 203, Z= -198
[2023-07-17 09:12:39] [world] The Player <Enderlava> has broke OBSERVER at X= 1081, Y= 203, Z= -198
[2023-07-17 09:12:43] [world] The Player <Enderlava> has broke OBSERVER at X= 1080, Y= 203, Z= -198
[2023-07-17 09:12:50] [world] The Player <Enderlava> has broke HOPPER at X= 1075, Y= 203, Z= -195
[2023-07-17 09:12:52] [world] The Player <Enderlava> has broke HOPPER at X= 1076, Y= 203, Z= -195
[2023-07-17 09:12:53] [world] The Player <Enderlava> has broke HOPPER at X= 1077, Y= 203, Z= -195
[2023-07-17 09:12:56] [world] The Player <Enderlava> has broke HOPPER at X= 1078, Y= 203, Z= -195
[2023-07-17 09:12:57] [world] The Player <Enderlava> has broke HOPPER at X= 1079, Y= 203, Z= -195
[2023-07-17 09:12:58] [world] The Player <Enderlava> has broke HOPPER at X= 1080, Y= 203, Z= -195
[2023-07-17 09:12:59] [world] The Player <Enderlava> has broke HOPPER at X= 1081, Y= 203, Z= -195
[2023-07-17 09:13:01] [world] The Player <Enderlava> has broke HOPPER at X= 1082, Y= 203, Z= -197
[2023-07-17 09:13:02] [world] The Player <Enderlava> has broke HOPPER at X= 1082, Y= 203, Z= -196
[2023-07-17 09:13:20] [world] The Player <Enderlava> has broke JUNGLE_PLANKS at X= 1074, Y= 203, Z= -198
