[2023-07-22 12:57:57] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -53, Z= -203
[2023-07-22 12:57:57] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -53, Z= -202
[2023-07-22 12:57:58] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -54, Z= -202
[2023-07-22 12:57:58] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -53, Z= -201
[2023-07-22 12:57:59] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -54, Z= -201
[2023-07-22 12:57:59] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -53, Z= -201
[2023-07-22 12:58:00] [world] The Player <wqe123420> has broke DEEPSLATE at X= -77, Y= -54, Z= -201
[2023-07-22 12:58:00] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -78, Y= -53, Z= -201
[2023-07-22 12:58:01] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -52, Z= -201
[2023-07-22 12:58:01] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -53, Z= -200
[2023-07-22 12:58:02] [world] The Player <wqe123420> has broke DEEPSLATE at X= -77, Y= -54, Z= -200
[2023-07-22 12:58:02] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -52, Z= -200
[2023-07-22 12:58:03] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -51, Z= -200
[2023-07-22 12:58:03] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -78, Y= -53, Z= -200
[2023-07-22 12:58:04] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -78, Y= -52, Z= -200
[2023-07-22 12:58:11] [world] The Player <wqe123420> has broke DEEPSLATE at X= -77, Y= -53, Z= -199
[2023-07-22 12:58:11] [world] The Player <wqe123420> has broke DEEPSLATE at X= -77, Y= -54, Z= -199
[2023-07-22 12:58:11] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -53, Z= -199
[2023-07-22 12:58:12] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -54, Z= -199
[2023-07-22 12:58:12] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -55, Z= -199
[2023-07-22 12:58:13] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -56, Z= -199
[2023-07-22 12:58:13] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -57, Z= -199
[2023-07-22 12:58:14] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -56, Z= -198
[2023-07-22 12:58:14] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -57, Z= -198
[2023-07-22 12:58:15] [world] The Player <wqe123420> has broke DEEPSLATE at X= -79, Y= -56, Z= -198
[2023-07-22 12:58:15] [world] The Player <wqe123420> has broke DEEPSLATE at X= -79, Y= -56, Z= -199
[2023-07-22 12:58:16] [world] The Player <wqe123420> has broke DEEPSLATE at X= -79, Y= -57, Z= -198
[2023-07-22 12:58:16] [world] The Player <wqe123420> has broke DEEPSLATE at X= -79, Y= -58, Z= -198
[2023-07-22 12:58:17] [world] The Player <wqe123420> has broke DEEPSLATE at X= -80, Y= -56, Z= -198
[2023-07-22 12:58:17] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -80, Y= -57, Z= -198
[2023-07-22 12:58:18] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -81, Y= -57, Z= -198
[2023-07-22 12:58:18] [world] The Player <wqe123420> has broke DEEPSLATE at X= -80, Y= -58, Z= -198
[2023-07-22 12:58:19] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -80, Y= -57, Z= -197
[2023-07-22 12:58:19] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -81, Y= -57, Z= -197
[2023-07-22 12:58:29] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -58, Z= -198
[2023-07-22 12:59:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -1, Y= 62, Z= -3
[2023-07-22 12:59:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -1, Y= 62, Z= -4
[2023-07-22 12:59:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -1, Y= 61, Z= -4
[2023-07-22 12:59:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -1, Y= 61, Z= -5
[2023-07-22 12:59:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -1, Y= 62, Z= -5
[2023-07-22 12:59:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= 0, Y= 61, Z= -5
[2023-07-22 12:59:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= 0, Y= 61, Z= -6
[2023-07-22 12:59:52] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 37, Z= -109
[2023-07-22 12:59:52] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 36, Z= -109
[2023-07-22 12:59:52] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 35, Z= -109
[2023-07-22 12:59:54] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 34, Z= -109
[2023-07-22 12:59:54] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 33, Z= -109
[2023-07-22 12:59:54] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 32, Z= -109
[2023-07-22 12:59:56] [world_nether] The Player <wqe123420> has broke MAGMA_BLOCK at X= -46, Y= 31, Z= -109
[2023-07-22 12:59:56] [world_nether] The Player <wqe123420> has broke MAGMA_BLOCK at X= -46, Y= 30, Z= -109
[2023-07-22 12:59:56] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 29, Z= -109
[2023-07-22 12:59:59] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 28, Z= -109
[2023-07-22 12:59:59] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 27, Z= -109
[2023-07-22 12:59:59] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 26, Z= -109
[2023-07-22 12:59:59] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 25, Z= -109
[2023-07-22 12:59:59] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 24, Z= -109
[2023-07-22 13:00:00] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 23, Z= -109
[2023-07-22 13:00:00] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 22, Z= -109
[2023-07-22 13:00:00] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 21, Z= -109
[2023-07-22 13:00:00] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 20, Z= -109
[2023-07-22 13:00:01] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 19, Z= -109
[2023-07-22 13:00:02] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 9, Z= -109
[2023-07-22 13:00:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -42, Y= 12, Z= -113
[2023-07-22 13:00:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -43, Y= 14, Z= -113
[2023-07-22 13:00:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -44, Y= 15, Z= -113
[2023-07-22 13:00:23] [world_nether] The Player <wqe123420> has broke BLACKSTONE at X= -44, Y= 14, Z= -113
[2023-07-22 13:00:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -45, Y= 15, Z= -113
[2023-07-22 13:00:24] [world_nether] The Player <wqe123420> has broke BLACKSTONE at X= -45, Y= 14, Z= -113
[2023-07-22 13:00:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -46, Y= 15, Z= -113
[2023-07-22 13:00:24] [world_nether] The Player <wqe123420> has broke BLACKSTONE at X= -46, Y= 14, Z= -113
[2023-07-22 13:00:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -47, Y= 15, Z= -113
[2023-07-22 13:00:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -47, Y= 14, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -48, Y= 14, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -49, Y= 14, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -49, Y= 13, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -48, Y= 15, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -50, Y= 13, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -51, Y= 13, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -50, Y= 14, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -49, Y= 15, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -52, Y= 12, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -52, Y= 13, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -51, Y= 14, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -50, Y= 15, Z= -113
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -53, Y= 12, Z= -113
[2023-07-22 13:00:27] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -53, Y= 8, Z= -113
[2023-07-22 13:00:28] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -53, Y= 9, Z= -113
[2023-07-22 13:00:28] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -54, Y= 8, Z= -113
[2023-07-22 13:00:28] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -54, Y= 9, Z= -113
[2023-07-22 13:00:29] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -55, Y= 9, Z= -113
[2023-07-22 13:00:29] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -55, Y= 10, Z= -113
[2023-07-22 13:00:29] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -56, Y= 10, Z= -113
[2023-07-22 13:00:29] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -56, Y= 10, Z= -112
[2023-07-22 13:00:29] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -57, Y= 10, Z= -112
[2023-07-22 13:00:29] [world_nether] The Player <wqe123420> has broke BLACKSTONE at X= -55, Y= 9, Z= -112
[2023-07-22 13:00:30] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -55, Y= 8, Z= -113
