[2023-07-21 16:21:12] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -46, Y= 9, Z= -111
[2023-07-21 16:21:12] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -45, Y= 9, Z= -111
[2023-07-21 16:21:12] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -45, Y= 10, Z= -111
[2023-07-21 16:21:13] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -44, Y= 9, Z= -111
[2023-07-21 16:21:13] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -47, Y= 9, Z= -111
[2023-07-21 16:21:13] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -46, Y= 10, Z= -111
[2023-07-21 16:21:13] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -46, Y= 9, Z= -110
[2023-07-21 16:21:13] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -47, Y= 9, Z= -110
[2023-07-21 16:21:13] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -46, Y= 10, Z= -110
[2023-07-21 16:21:13] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -45, Y= 9, Z= -109
[2023-07-21 16:21:39] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -47, Y= 8, Z= -110
[2023-07-21 16:21:39] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -48, Y= 8, Z= -110
[2023-07-21 16:21:39] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -48, Y= 8, Z= -109
[2023-07-21 16:21:40] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -48, Y= 9, Z= -109
[2023-07-21 16:21:40] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -48, Y= 9, Z= -108
[2023-07-21 16:21:40] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -48, Y= 9, Z= -107
[2023-07-21 16:22:10] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 14, Z= -61
[2023-07-21 16:22:11] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 14, Z= -60
[2023-07-21 16:22:11] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 14, Z= -59
[2023-07-21 16:22:11] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 14, Z= -58
[2023-07-21 16:22:15] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -59
[2023-07-21 16:22:16] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 16, Z= -58
