[2023-08-09 14:55:36] [world] The Player <Enderlava> has broke OAK_PLANKS at X= 1361, Y= -3, Z= 982
[2023-08-09 14:56:49] [world] The Player <Enderlava> has broke SNOW_BLOCK at X= 1360, Y= -5, Z= 979
[2023-08-09 14:57:16] [world] The Player <Enderlava> has broke ANVIL at X= 1359, Y= -5, Z= 981
[2023-08-09 14:58:35] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1365, Y= -4, Z= 981
[2023-08-09 14:59:50] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1365, Y= -3, Z= 982
[2023-08-09 14:59:51] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1365, Y= -4, Z= 982
[2023-08-09 14:59:53] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1365, Y= -3, Z= 982
[2023-08-09 15:00:21] [world] The Player <Enderlava> has broke OAK_TRAPDOOR at X= 1366, Y= -3, Z= 981
[2023-08-09 15:02:35] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1364, Y= -3, Z= 984
[2023-08-09 15:07:45] [world] The Player <Enderlava> has broke OAK_TRAPDOOR at X= 1365, Y= -1, Z= 981
[2023-08-09 15:07:46] [world] The Player <Enderlava> has broke OAK_TRAPDOOR at X= 1365, Y= -2, Z= 981
[2023-08-09 15:07:47] [world] The Player <Enderlava> has broke OAK_TRAPDOOR at X= 1364, Y= -1, Z= 982
[2023-08-09 15:07:49] [world] The Player <Enderlava> has broke OAK_TRAPDOOR at X= 1364, Y= -2, Z= 982
