[2023-07-11 11:26:45] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 73, Z= -322
[2023-07-11 11:26:45] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 75, Z= -322
[2023-07-11 11:26:45] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 76, Z= -322
[2023-07-11 11:26:46] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 75, Z= -322
[2023-07-11 11:26:46] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 75, Z= -322
[2023-07-11 11:26:46] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 75, Z= -322
[2023-07-11 11:26:46] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 75, Z= -322
[2023-07-11 11:26:46] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 75, Z= -322
[2023-07-11 11:26:47] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 75, Z= -322
[2023-07-11 11:26:47] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 75, Z= -322
[2023-07-11 11:26:47] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 76, Z= -322
[2023-07-11 11:26:48] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 76, Z= -322
[2023-07-11 11:26:48] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 6, Y= 77, Z= -322
[2023-07-11 11:26:52] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 74, Z= -324
[2023-07-11 11:26:52] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 76, Z= -324
[2023-07-11 11:26:52] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 76, Z= -324
[2023-07-11 11:26:52] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 75, Z= -324
[2023-07-11 11:26:52] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 75, Z= -324
[2023-07-11 11:26:53] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 75, Z= -324
[2023-07-11 11:26:53] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 75, Z= -324
[2023-07-11 11:26:53] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 75, Z= -324
[2023-07-11 11:26:53] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 75, Z= -324
[2023-07-11 11:26:54] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 75, Z= -324
[2023-07-11 11:26:54] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 75, Z= -324
[2023-07-11 11:26:54] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 75, Z= -324
[2023-07-11 11:26:54] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 76, Z= -324
[2023-07-11 11:26:54] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 76, Z= -324
[2023-07-11 11:26:55] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 8, Y= 76, Z= -324
[2023-07-11 11:27:01] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 73, Z= -323
[2023-07-11 11:27:01] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 73, Z= -323
[2023-07-11 11:27:02] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 73, Z= -323
[2023-07-11 11:27:02] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 73, Z= -323
[2023-07-11 11:27:02] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 73, Z= -323
[2023-07-11 11:27:02] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 73, Z= -323
[2023-07-11 11:27:02] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 73, Z= -323
[2023-07-11 11:27:03] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 74, Z= -323
[2023-07-11 11:27:03] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 74, Z= -323
[2023-07-11 11:27:03] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 74, Z= -323
