[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 0, Z= 8
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-23 14:48:13] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 6
